Proxy,IP,Port,TimeTaken,CheckedAt
45.90.160.141:3128,45.90.160.141,3128,0,
188.166.197.129:3128,188.166.197.129,3128,0,
194.182.178.90:3128,194.182.178.90,3128,0,
5.196.111.29:20488,5.196.111.29,20488,0,
205.209.108.206:8080,205.209.108.206,8080,0,
68.178.203.69:8899,68.178.203.69,8899,0,
67.43.228.253:2159,67.43.228.253,2159,0,
154.90.48.9:9090,154.90.48.9,9090,0,
27.98.187.65:8080,27.98.187.65,8080,0,
67.43.236.20:6503,67.43.236.20,6503,0,
178.128.200.87:80,178.128.200.87,80,0,
154.90.48.166:9090,154.90.48.166,9090,0,
65.109.220.163:80,65.109.220.163,80,0,
45.65.113.71:80,45.65.113.71,80,0,
192.73.244.36:80,192.73.244.36,80,0,
152.26.231.86:9443,152.26.231.86,9443,0,
139.162.78.109:3128,139.162.78.109,3128,0,
209.97.150.167:3128,209.97.150.167,3128,0,
5.196.111.29:20109,5.196.111.29,20109,0,
149.56.148.20:80,149.56.148.20,80,0,
176.105.212.47:8080,176.105.212.47,8080,0,
5.161.103.113:80,5.161.103.113,80,0,
154.73.28.161:8080,154.73.28.161,8080,0,
13.60.81.129:3128,13.60.81.129,3128,0,
200.174.198.86:8888,200.174.198.86,8888,0,
165.232.129.150:80,165.232.129.150,80,0,
67.43.236.20:17463,67.43.236.20,17463,0,
54.38.79.40:3128,54.38.79.40,3128,0,
58.246.58.150:9002,58.246.58.150,9002,0,
154.38.180.194:3128,154.38.180.194,3128,0,
152.26.229.52:9443,152.26.229.52,9443,0,
80.249.112.162:80,80.249.112.162,80,0,
64.227.38.36:81,64.227.38.36,81,0,
103.49.202.252:80,103.49.202.252,80,0,
111.224.11.103:8089,111.224.11.103,8089,0,
72.10.160.90:5657,72.10.160.90,5657,0,
198.49.68.80:80,198.49.68.80,80,0,
72.10.164.178:10757,72.10.164.178,10757,0,
143.106.221.161:80,143.106.221.161,80,0,
47.89.184.18:3128,47.89.184.18,3128,0,
125.77.25.177:8080,125.77.25.177,8080,0,
38.45.46.2:6332,38.45.46.2,6332,0,
211.112.210.65:8080,211.112.210.65,8080,0,
72.10.160.174:14623,72.10.160.174,14623,0,
103.153.154.6:80,103.153.154.6,80,0,
67.43.236.20:29175,67.43.236.20,29175,0,
67.43.236.20:23047,67.43.236.20,23047,0,
173.255.119.18:80,173.255.119.18,80,0,
152.26.229.88:9443,152.26.229.88,9443,0,
67.43.236.19:8987,67.43.236.19,8987,0,
72.10.164.178:11683,72.10.164.178,11683,0,
154.90.48.212:9090,154.90.48.212,9090,0,
130.185.77.63:80,130.185.77.63,80,0,
183.238.163.8:9002,183.238.163.8,9002,0,
72.10.164.178:6903,72.10.164.178,6903,0,
101.255.209.118:8089,101.255.209.118,8089,0,
135.125.206.241:80,135.125.206.241,80,0,
149.102.130.120:80,149.102.130.120,80,0,
195.252.236.91:80,195.252.236.91,80,0,
153.101.67.170:9002,153.101.67.170,9002,0,
8.223.31.16:1080,8.223.31.16,1080,0,
45.124.87.64:3128,45.124.87.64,3128,0,
72.10.160.90:28785,72.10.160.90,28785,0,
67.43.228.253:31667,67.43.228.253,31667,0,
72.10.160.90:17163,72.10.160.90,17163,0,
115.22.252.245:3128,115.22.252.245,3128,0,
162.223.90.130:80,162.223.90.130,80,0,
45.92.177.60:8080,45.92.177.60,8080,0,
125.77.25.177:8090,125.77.25.177,8090,0,
67.43.227.227:21373,67.43.227.227,21373,0,
62.72.56.132:80,62.72.56.132,80,0,
67.43.227.227:1809,67.43.227.227,1809,0,
152.26.229.66:9443,152.26.229.66,9443,0,
103.168.38.246:80,103.168.38.246,80,0,
115.223.11.212:8103,115.223.11.212,8103,0,
204.137.238.6:3129,204.137.238.6,3129,0,
122.200.19.103:80,122.200.19.103,80,0,
154.90.49.240:9090,154.90.49.240,9090,0,
23.247.136.245:80,23.247.136.245,80,0,
111.225.152.208:8089,111.225.152.208,8089,0,
93.177.67.178:80,93.177.67.178,80,0,
222.243.174.132:81,222.243.174.132,81,0,
161.35.49.68:80,161.35.49.68,80,0,
117.68.38.185:42557,117.68.38.185,42557,0,
185.217.199.176:4444,185.217.199.176,4444,0,
144.126.216.57:80,144.126.216.57,80,0,
67.43.228.253:27199,67.43.228.253,27199,0,
101.128.92.243:7777,101.128.92.243,7777,0,
223.113.80.158:9091,223.113.80.158,9091,0,
185.217.198.121:4444,185.217.198.121,4444,0,
103.69.20.89:58080,103.69.20.89,58080,0,
43.132.124.11:3128,43.132.124.11,3128,0,
103.156.17.83:8181,103.156.17.83,8181,0,
178.33.13.233:80,178.33.13.233,80,0,
85.62.10.84:8080,85.62.10.84,8080,0,
72.10.164.178:32139,72.10.164.178,32139,0,
119.62.10.222:8085,119.62.10.222,8085,0,
41.207.242.62:80,41.207.242.62,80,0,
67.43.236.20:18959,67.43.236.20,18959,0,
58.20.248.139:9002,58.20.248.139,9002,0,
52.185.132.193:8080,52.185.132.193,8080,0,
108.181.187.213:9001,108.181.187.213,9001,0,
67.43.227.226:11027,67.43.227.226,11027,0,
178.16.130.81:80,178.16.130.81,80,0,
103.15.236.10:80,103.15.236.10,80,0,
154.90.49.34:9090,154.90.49.34,9090,0,
109.61.42.223:80,109.61.42.223,80,0,
166.1.22.160:8080,166.1.22.160,8080,0,
72.10.160.90:23441,72.10.160.90,23441,0,
188.225.24.22:3128,188.225.24.22,3128,0,
117.21.14.245:8000,117.21.14.245,8000,0,
85.132.37.9:1313,85.132.37.9,1313,0,
20.127.221.223:80,20.127.221.223,80,0,
82.102.10.253:80,82.102.10.253,80,0,
182.72.203.255:80,182.72.203.255,80,0,
67.43.228.253:19427,67.43.228.253,19427,0,
192.248.95.1:3128,192.248.95.1,3128,0,
67.43.228.250:1117,67.43.228.250,1117,0,
122.175.19.164:80,122.175.19.164,80,0,
159.54.149.67:80,159.54.149.67,80,0,
89.116.34.113:80,89.116.34.113,80,0,
122.200.19.98:80,122.200.19.98,80,0,
80.13.39.65:80,80.13.39.65,80,0,
135.181.154.225:80,135.181.154.225,80,0,
27.254.46.194:80,27.254.46.194,80,0,
122.9.183.228:8000,122.9.183.228,8000,0,
60.12.168.114:9002,60.12.168.114,9002,0,
111.225.152.217:8089,111.225.152.217,8089,0,
52.82.123.144:3128,52.82.123.144,3128,0,
84.252.73.132:4444,84.252.73.132,4444,0,
206.224.254.234:8080,206.224.254.234,8080,0,
47.76.132.77:1080,47.76.132.77,1080,0,
88.79.243.103:3128,88.79.243.103,3128,0,
72.10.164.178:11435,72.10.164.178,11435,0,
97.74.87.226:80,97.74.87.226,80,0,
185.191.236.162:3128,185.191.236.162,3128,0,
72.10.160.90:6363,72.10.160.90,6363,0,
135.148.171.194:18080,135.148.171.194,18080,0,
189.240.60.163:9090,189.240.60.163,9090,0,
67.43.227.227:10211,67.43.227.227,10211,0,
77.91.70.98:80,77.91.70.98,80,0,
156.67.214.232:80,156.67.214.232,80,0,
67.43.227.228:26501,67.43.227.228,26501,0,
72.10.164.178:28837,72.10.164.178,28837,0,
72.10.160.90:30951,72.10.160.90,30951,0,
72.10.160.173:31685,72.10.160.173,31685,0,
161.35.70.249:8080,161.35.70.249,8080,0,
67.43.227.227:3335,67.43.227.227,3335,0,
51.159.4.90:3128,51.159.4.90,3128,0,
67.43.228.250:19043,67.43.228.250,19043,0,
103.210.35.131:8080,103.210.35.131,8080,0,
159.54.145.18:80,159.54.145.18,80,0,
67.43.236.20:30939,67.43.236.20,30939,0,
72.10.160.90:32041,72.10.160.90,32041,0,
5.35.92.156:80,5.35.92.156,80,0,
67.43.228.253:7705,67.43.228.253,7705,0,
20.232.120.176:80,20.232.120.176,80,0,
58.47.50.151:8118,58.47.50.151,8118,0,
67.43.228.253:19065,67.43.228.253,19065,0,
195.201.34.250:3128,195.201.34.250,3128,0,
154.90.48.82:9090,154.90.48.82,9090,0,
67.43.228.253:21463,67.43.228.253,21463,0,
67.43.236.18:22955,67.43.236.18,22955,0,
34.124.190.108:8090,34.124.190.108,8090,0,
162.223.89.34:80,162.223.89.34,80,0,
190.103.177.131:80,190.103.177.131,80,0,
139.59.1.14:3128,139.59.1.14,3128,0,
111.225.153.88:8089,111.225.153.88,8089,0,
51.158.169.52:29976,51.158.169.52,29976,0,
67.43.236.20:17969,67.43.236.20,17969,0,
67.43.236.20:32525,67.43.236.20,32525,0,
84.247.129.226:3128,84.247.129.226,3128,0,
72.10.160.172:3155,72.10.160.172,3155,0,
72.10.164.178:9105,72.10.164.178,9105,0,
116.203.28.43:80,116.203.28.43,80,0,
140.238.207.22:80,140.238.207.22,80,0,
176.65.240.15:80,176.65.240.15,80,0,
45.77.147.46:3128,45.77.147.46,3128,0,
178.250.88.254:80,178.250.88.254,80,0,
49.245.96.145:80,49.245.96.145,80,0,
67.43.227.228:14327,67.43.227.228,14327,0,
67.43.236.20:10699,67.43.236.20,10699,0,
61.186.243.6:9002,61.186.243.6,9002,0,
