Proxy,IP,Port,TimeTaken,CheckedAt
20.204.212.45:3129,20.204.212.45,3129,0,
47.90.205.231:33333,47.90.205.231,33333,0,
114.129.2.82:8081,114.129.2.82,8081,0,
187.111.144.102:8080,187.111.144.102,8080,0,
128.127.180.205:3128,128.127.180.205,3128,0,
52.172.55.7:80,52.172.55.7,80,0,
3.7.254.186:80,3.7.254.186,80,0,
180.151.80.35:8080,180.151.80.35,8080,0,
13.56.18.97:3128,13.56.18.97,3128,0,
209.121.164.50:31147,209.121.164.50,31147,0,
162.0.231.26:8081,162.0.231.26,8081,0,
45.144.166.24:3128,45.144.166.24,3128,0,
67.43.236.20:10145,67.43.236.20,10145,0,
172.183.241.1:8090,172.183.241.1,8090,0,
148.72.140.24:30127,148.72.140.24,30127,0,
64.23.176.37:3128,64.23.176.37,3128,0,
103.252.122.151:3007,103.252.122.151,3007,0,
37.120.192.154:8080,37.120.192.154,8080,0,
147.139.208.214:8080,147.139.208.214,8080,0,
66.65.180.108:8080,66.65.180.108,8080,0,
20.44.189.184:3129,20.44.189.184,3129,0,
72.10.160.94:18345,72.10.160.94,18345,0,
3.142.237.56:49205,3.142.237.56,49205,0,
47.251.43.115:33333,47.251.43.115,33333,0,
45.65.234.218:8080,45.65.234.218,8080,0,
66.188.181.143:8080,66.188.181.143,8080,0,
73.225.1.109:8080,73.225.1.109,8080,0,
20.204.214.23:3129,20.204.214.23,3129,0,
68.178.168.41:80,68.178.168.41,80,0,
72.10.160.174:13093,72.10.160.174,13093,0,
67.43.228.252:10579,67.43.228.252,10579,0,
16.171.138.252:3128,16.171.138.252,3128,0,
20.204.212.76:3129,20.204.212.76,3129,0,
129.150.48.1:3128,129.150.48.1,3128,0,
192.99.169.19:8450,192.99.169.19,8450,0,
203.145.58.234:8080,203.145.58.234,8080,0,
95.31.222.217:3128,95.31.222.217,3128,0,
206.238.197.194:8080,206.238.197.194,8080,0,
115.236.144.234:3128,115.236.144.234,3128,0,
82.223.246.196:80,82.223.246.196,80,0,
72.10.160.90:1365,72.10.160.90,1365,0,
20.44.188.17:3129,20.44.188.17,3129,0,
20.187.116.198:3128,20.187.116.198,3128,0,
194.233.79.220:8000,194.233.79.220,8000,0,
13.83.94.137:3128,13.83.94.137,3128,0,
181.188.27.162:8080,181.188.27.162,8080,0,
103.237.144.232:1311,103.237.144.232,1311,0,
160.86.242.23:8080,160.86.242.23,8080,0,
186.208.81.214:3129,186.208.81.214,3129,0,
159.223.34.114:3128,159.223.34.114,3128,0,
163.172.33.137:4002,163.172.33.137,4002,0,
103.160.69.97:8009,103.160.69.97,8009,0,
5.189.184.6:80,5.189.184.6,80,0,
103.7.135.70:8080,103.7.135.70,8080,0,
134.122.26.11:80,134.122.26.11,80,0,
67.43.236.21:8307,67.43.236.21,8307,0,
43.250.175.68:38080,43.250.175.68,38080,0,
79.175.189.88:1080,79.175.189.88,1080,0,
91.92.123.64:8080,91.92.123.64,8080,0,
200.25.254.193:54240,200.25.254.193,54240,0,
83.54.9.242:3128,83.54.9.242,3128,0,
189.240.60.168:9090,189.240.60.168,9090,0,
195.201.34.206:80,195.201.34.206,80,0,
47.74.40.128:7788,47.74.40.128,7788,0,
175.6.171.225:30000,175.6.171.225,30000,0,
212.110.188.202:34409,212.110.188.202,34409,0,
111.172.239.145:3128,111.172.239.145,3128,0,
8.212.18.158:808,8.212.18.158,808,0,
114.33.18.16:3128,114.33.18.16,3128,0,
200.119.44.50:9090,200.119.44.50,9090,0,
122.210.119.110:32323,122.210.119.110,32323,0,
64.23.232.139:3128,64.23.232.139,3128,0,
195.158.3.198:3128,195.158.3.198,3128,0,
188.166.197.129:3128,188.166.197.129,3128,0,
79.175.189.51:1080,79.175.189.51,1080,0,
115.76.203.159:49081,115.76.203.159,49081,0,
194.233.71.212:8000,194.233.71.212,8000,0,
35.185.196.38:3128,35.185.196.38,3128,0,
164.52.206.180:80,164.52.206.180,80,0,
103.234.31.58:8080,103.234.31.58,8080,0,
148.72.165.7:30135,148.72.165.7,30135,0,
139.255.67.212:8185,139.255.67.212,8185,0,
87.247.40.82:3128,87.247.40.82,3128,0,
47.251.70.179:80,47.251.70.179,80,0,
20.243.212.74:3128,20.243.212.74,3128,0,
86.41.21.59:8088,86.41.21.59,8088,0,
20.204.214.79:3129,20.204.214.79,3129,0,
187.141.125.210:8080,187.141.125.210,8080,0,
8.219.97.248:80,8.219.97.248,80,0,
166.159.90.56:53281,166.159.90.56,53281,0,
155.133.26.75:7778,155.133.26.75,7778,0,
124.6.155.170:3131,124.6.155.170,3131,0,
171.228.165.63:2020,171.228.165.63,2020,0,
195.201.138.150:80,195.201.138.150,80,0,
171.231.28.200:49236,171.231.28.200,49236,0,
190.158.210.102:8080,190.158.210.102,8080,0,
122.152.4.135:6000,122.152.4.135,6000,0,
190.95.209.178:999,190.95.209.178,999,0,
188.225.24.22:3128,188.225.24.22,3128,0,
189.90.255.208:3128,189.90.255.208,3128,0,
189.124.91.145:7171,189.124.91.145,7171,0,
189.127.190.109:8080,189.127.190.109,8080,0,
189.202.188.149:80,189.202.188.149,80,0,
189.203.181.34:8080,189.203.181.34,8080,0,
189.232.204.95:3128,189.232.204.95,3128,0,
189.240.60.163:9090,189.240.60.163,9090,0,
189.240.60.164:9090,189.240.60.164,9090,0,
189.240.60.166:9090,189.240.60.166,9090,0,
189.240.60.169:9090,189.240.60.169,9090,0,
194.233.78.4:3143,194.233.78.4,3143,0,
190.202.111.202:8080,190.202.111.202,8080,0,
190.211.250.131:999,190.211.250.131,999,0,
191.7.196.130:8080,191.7.196.130,8080,0,
